eV	e1	e2
4.960000	-10.695024	11.477120	
4.940000	-10.959845	11.626560	
4.920000	-11.225401	11.802038	
4.900000	-11.504592	11.974306	
4.880000	-11.770858	12.185425	
4.860000	-12.089300	12.410060	
4.840000	-12.400760	12.641040	
4.820000	-12.729734	12.907408	
4.800000	-13.083477	13.194365	
4.780000	-13.450033	13.487726	
4.760000	-13.848879	13.833792	
4.740000	-14.279824	14.214466	
4.720000	-14.715343	14.629004	
4.700000	-15.186058	15.101339	
4.680000	-15.704062	15.607800	
4.660000	-16.236916	16.208012	
4.640000	-16.792162	16.888487	
4.620000	-17.354773	17.689861	
4.600000	-17.931540	18.599728	
4.580000	-18.456215	19.618153	
4.560000	-18.933201	20.753721	
4.540000	-19.343735	22.040644	
4.520000	-19.639202	23.441458	
4.500000	-19.819321	24.911963	
4.480000	-19.886717	26.481312	
4.460000	-19.812433	28.112400	
4.440000	-19.610161	29.786161	
4.420000	-19.287739	31.548191	
4.400000	-18.823936	33.346558	
4.380000	-18.216434	35.267075	
4.360000	-17.450260	37.291634	
4.340000	-16.333267	39.501579	
4.320000	-14.767920	41.869423	
4.300000	-12.410629	44.087940	
4.280000	-9.455481	45.779434	
4.260000	-6.129337	46.679901	
4.240000	-2.931638	46.756901	
4.220000	-0.067368	46.243324	
4.200000	2.372223	45.350864	
4.180000	4.343081	44.271358	
4.160000	5.978306	43.150593	
4.140000	7.316385	42.031593	
4.120000	8.424747	40.958065	
4.100000	9.367958	39.949162	
4.080000	10.117215	39.013168	
4.060000	10.775595	38.131920	
4.040000	11.341925	37.333920	
4.020000	11.827723	36.609501	
4.000000	12.233533	35.941742	
3.980000	12.636237	35.353519	
3.960000	13.010572	34.839542	
3.940000	13.332038	34.351719	
3.920000	13.655149	33.941265	
3.900000	13.964538	33.567070	
3.880000	14.254340	33.239017	
3.860000	14.565207	32.939953	
3.840000	14.891035	32.679359	
3.820000	15.212184	32.443943	
3.800000	15.529102	32.233658	
3.780000	15.848525	32.038334	
3.760000	16.174639	31.874319	
3.740000	16.534615	31.743689	
3.720000	16.877712	31.615171	
3.700000	17.232973	31.534098	
3.680000	17.586519	31.477962	
3.660000	17.955175	31.442568	
3.640000	18.321312	31.459234	
3.620000	18.708094	31.513390	
3.600000	19.125443	31.638302	
3.580000	19.574608	31.834576	
3.560000	20.072433	32.125744	
3.540000	20.681240	32.532276	
3.520000	21.421223	33.078972	
3.500000	22.387905	33.817081	
3.480000	23.710609	34.696114	
3.460000	25.600706	35.635124	
3.440000	28.183599	36.314800	
3.420000	31.490705	36.346699	
3.400000	35.219460	35.284019	
3.380000	38.791092	32.885841	
3.360000	41.481026	29.481085	
3.340000	43.138344	25.540461	
3.320000	43.739468	21.444046	
3.300000	43.265640	17.725178	
3.280000	42.130123	14.618700	
3.260000	40.735283	12.194281	
3.240000	39.227631	10.295080	
3.220000	37.744427	8.832180	
3.200000	36.350941	7.638120	
3.180000	35.063984	6.673656	
3.160000	33.873940	5.900420	
3.140000	32.785599	5.238528	
3.120000	31.794668	4.704133	
3.100000	30.875134	4.311180	
3.080000	30.047026	3.900030	
3.060000	29.268160	3.566360	
3.040000	28.513832	3.348474	
3.020000	27.835974	3.075288	
3.000000	27.196924	2.809436	
2.980000	26.601871	2.633640	
2.960000	26.042347	2.493192	
2.940000	25.531380	2.306448	
2.920000	25.045557	2.113798	
2.900000	24.570313	2.014166	
2.880000	24.129419	1.907408	
2.860000	23.702168	1.802642	
2.840000	23.304335	1.787470	
2.820000	22.924780	1.628940	
2.800000	22.564438	1.549478	
2.780000	22.237322	1.405964	
2.760000	21.898924	1.395236	
2.740000	21.586212	1.236368	
2.720000	21.281063	1.209130	
2.700000	20.986992	1.191580	
2.680000	20.712648	1.192886	
2.660000	20.430527	1.211896	
2.640000	20.190624	1.078800	
2.620000	19.930759	1.071840	
2.600000	19.723263	0.799560	
2.580000	19.492218	0.830208	
2.560000	19.273991	0.728906	
2.540000	19.064449	0.689986	
2.520000	18.855719	0.668822	
2.500000	18.657072	0.630720	
2.480000	18.467474	0.627508	
2.460000	18.288372	0.564564	
2.440000	18.099842	0.612720	
2.420000	17.931627	0.508200	
2.400000	17.762627	0.505800	
2.380000	17.603281	0.469952	
2.360000	17.444521	0.442762	
2.340000	17.295433	0.357674	
2.320000	17.137573	0.372600	
2.300000	16.996826	0.395808	
2.280000	16.857300	0.361328	
2.260000	16.717987	0.359832	
2.240000	16.588305	0.260672	
2.220000	16.457806	0.308332	
2.200000	16.336739	0.258688	
2.180000	16.207520	0.273768	
2.160000	16.088825	0.240672	
2.140000	15.975280	0.215838	
2.120000	15.863391	0.238980	
2.100000	15.752062	0.238140	
2.080000	15.649208	0.213624	
2.060000	15.546625	0.197150	
2.040000	15.452136	0.196550	
2.020000	15.350148	0.188064	
2.000000	15.256351	0.171864	
1.980000	15.154963	0.171292	
1.960000	15.069562	0.147516	
1.940000	14.976575	0.139320	
1.920000	14.883875	0.131172	
1.900000	14.799152	0.123104	
1.880000	14.722313	0.122784	
1.860000	14.638051	0.114780	
1.840000	14.554029	0.106820	
1.820000	14.477857	0.098930	
1.800000	14.409448	0.098696	
1.780000	14.341200	0.098462	
1.760000	14.273141	0.090672	
1.740000	14.197702	0.082896	
1.720000	14.145000	0.082742	
1.700000	14.077405	0.075040	
1.680000	14.024924	0.074900	
1.660000	13.957616	0.067248	
1.640000	13.897902	0.067104	
1.620000	13.845777	0.059536	
1.600000	13.793732	0.059424	
1.580000	13.793732	0.059424	
1.560000	13.667762	0.051758	
1.540000	13.601308	0.044256	
1.520000	13.549725	0.044172	
1.500000	13.490905	0.036730	
1.480000	13.430496	0.029087	
1.460000	13.368431	0.021234	
1.440000	13.304643	0.013164	
1.420000	13.239057	0.004866	
1.400000	13.171597	-0.003669	
1.380000	13.102183	-0.012452	
1.360000	13.030727	-0.021493	
1.340000	12.957138	-0.030803	
1.320000	12.881318	-0.040396	
1.300000	12.803166	-0.050284	
1.280000	12.722572	-0.060481	
1.260000	12.639420	-0.071002	
1.240000	12.553584	-0.081862	